11
3 273
3905277 5614053 100000000
3942390 67733433 75814475
99652569 72001607 50775686
7867662 53683012 65643494
938 100000000 100000000
6643 17150 30620
484631 136374 186140
83629593 21219055 58274888
79210011 84769344 18868622
28433609 58672551 66557081
47 54 0
33 0 6
91 65 90
74420025 13165711 33196047
97697552 49274909 63632340
10969895 5524764 76530732
30 10 88
100000000 37 0
12 100000000 13
47 100000000 100000000
100000000 62 100000000
52 100000000 100000000
223 100000000 774
57879 100000000 61287
554953 974745 807705
92137527 86817391 4179467
12416044 15255399 75148405
16454416 86331341 65990420
100000000 100000000 0
100000000 36 7
100000000 0 0
60612096 37240384 45711266
12754846 60535327 79846502
53764558 39005198 26958145
100000000 729 372
100000000 46117 96066
606024 618679 410131
100000000 100000000 100000000
19425 100000000 44994
127996 469518 551402
100000000 33 95
100000000 100000000 83
70 0 0
100000000 45 23
0 100000000 100000000
100000000 100000000 0
79477833 25145349 583019
86693905 48744731 8105999
78241473 73116832 40703651
51922788 2601641 96433459
6534371 41681611 4893133
15567618 3085124 5446360
100000000 100000000 82
36040 20647 54799
53030 759706 652960
30495215 17705639 48631183
5714128 86017661 68834844
48588601 43081341 96844194
0 100000000 100000000
6 33 0
93 91 100000000
713 573 788
100000000 79850 60674
27699 643590 539094
95 0 34
100000000 0 100000000
28 100000000 100000000
61607952 56658140 36794610
81956867 31228020 36928521
85044591 8764311 60297401
0 0 0
100000000 16 0
81 55 70
100000000 40 100000000
72 0 100000000
100000000 11 100000000
100000000 100000000 100000000
0 0 0
0 100000000 33
100000000 100000000 0
0 100000000 8
0 83 90
100000000 0 100000000
0 0 51
0 96 100000000
100000000 134 786
33590 82070 10924
216106 889096 218450
58728011 9012291 10625978
92477261 39921771 57163034
12793802 48461634 25318022
62 100000000 100000000
100000000 0 0
95 0 100000000
44989893 53257407 39856226
94914472 7257902 11782975
96666850 42584876 20552640
49644688 18001316 40515240
66110610 74717062 35962257
5137256 46683229 2347136
96 100000000 24
0 0 100000000
79 0 100000000
0 0 100000000
41 0 0
100000000 7 100000000
512 100000000 100000000
346 49928 100000000
504316 733744 815304
10 0 0
100000000 0 0
66 0 0
22423834 4833867 77332826
67553941 84104097 7664667
59183903 57881533 26685888
95 0 56
100000000 65 100000000
0 100000000 0
0 0 0
0 0 0
0 0 0
0 0 0
100000000 94 100000000
61 100000000 100000000
42203304 83830129 59426139
44948677 15604909 69712387
98052496 48727660 41084483
12 0 0
0 100000000 100000000
0 100000000 0
6915958 34094361 19040576
16344815 16867543 6561054
21858127 62275890 34480698
8756508 17082125 58667631
66874055 38704563 58366432
94002058 88948419 39818181
100000000 0 0
100000000 100000000 100000000
1 0 60
100000000 93 0
72 45 0
12 53 0
89872409 13783706 12879874
35259671 32096834 73028632
37863912 31358125 45192561
49805467 34634114 29388824
7964645 66899974 72703330
98363030 23738576 94594253
50210185 7121784 22043053
26089511 71659509 69870725
88502277 68198755 73494112
100000000 244 788
100000000 23935 54217
672318 203817 405202
401 100000000 100000000
100000000 100000000 84019
526697 506116 489099
100000000 100000000 100000000
87715 100000000 46133
40282 193012 979386
19527236 97450895 991331
11627113 94418194 11833290
43818783 51313551 48851789
100000000 100000000 97
17 0 13
0 0 92
100000000 100000000 100000000
57 0 100000000
0 100000000 0
17469275 36771391 84859554
69194873 28896797 12809773
21463830 39646529 52235092
5900841 89814364 3979762
54642456 27814549 69054571
12146692 31793978 77114469
584755 99106285 48025471
75639093 72355859 76174128
57481119 22595600 11475486
72 100000000 100000000
100000000 52 13
100000000 100000000 100000000
100000000 100000000 168
100000000 85140 97326
991818 778933 545615
89608756 82020694 90818952
76821819 69144354 97910945
80017463 44003242 80462491
0 45 0
100000000 0 0
0 100000000 0
59 99 100000000
100000000 80 20
100000000 100000000 26
57965917 35197448 83979327
97367863 61225125 52320590
68915846 15737577 78133658
55812806 29629866 56469577
39312672 52160140 11034987
64103141 93819110 71666476
100000000 100000000 100000000
48 8 21
42 100000000 100000000
0 0 0
0 0 0
0 0 0
0 100000000 94
63 100000000 0
100000000 68 0
80097896 62962086 1056133
62693464 96982211 12276359
9462599 12097189 91396552
14 100000000 100000000
100000000 100000000 53
31 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7341168 67846772 23707203
20501819 13717532 97649198
30776895 81872689 67874846
100000000 971 100000000
100000000 100000000 18880
640436 375685 813083
100000000 10 0
20 59 100000000
100000000 100000000 84
5380317 97361538 62403320
4805242 21483465 96362440
45166308 61607751 74227688
