12
2 49856
10 11 15
150 150 150
150 150 150
16 98 12
96 127 106
15 14 19
150 150 150
16 1 13
15 13 17
150 58 1
150 20 1
150 125 1
9 13 1
18 1 3
150 143 1
19 17 5
18 139 62
13 9 17
17 15 8
150 124 1
97 51 13
150 150 150
5 7 19
150 150 150
150 150 150
150 4 1
20 7 13
150 150 150
12 8 11
150 150 150
150 150 150
103 124 65
150 26 1
12 19 16
150 41 1
28 131 112
150 53 1
127 131 122
150 78 1
15 20 7
150 150 150
11 11 17
5 5 9
19 19 13
12 19 13
150 150 150
15 18 17
53 117 30
7 5 19
11 2 8
4 19 19
150 131 1
150 117 1
20 9 15
150 119 1
10 11 18
13 13 12
150 150 150
145 131 9
2 19 1
12 8 19
150 150 150
150 98 1
5 20 14
98 44 91
150 118 1
150 4 1
66 41 79
4 11 20
150 44 1
18 18 11
11 12 18
20 20 5
150 150 150
150 116 1
11 12 7
5 5 16
150 150 150
150 100 1
150 150 150
150 150 150
150 119 1
150 117 1
16 12 4
150 48 1
11 15 10
150 73 1
15 12 4
150 150 150
1 7 2
20 7 11
20 10 12
150 150 150
3 20 20
10 18 20
141 11 82
18 17 5
150 16 1
150 150 150
76 40 93
150 50 1
12 13 11
150 150 150
10 9 2
150 43 1
12 1 20
150 75 1
150 3 1
5 6 13
10 8 1
150 150 150
143 37 53
1 5 16
150 150 150
16 12 16
9 18 18
150 48 1
8 20 16
118 95 52
3 120 95
150 150 150
72 89 107
150 150 150
65 2 23
150 150 150
108 75 41
128 55 133
150 24 1
18 5 14
2 6 3
18 4 2
18 4 1
35 34 112
15 4 16
2 8 10
150 150 150
8 15 12
71 84 44
6 11 20
17 6 16
150 150 150
1 135 9
150 150 150
62 120 35
17 19 12
67 30 48
48 20 38
44 139 59
150 150 150
9 18 15
150 95 1
11 19 3
150 91 1
9 5 16
12 12 2
150 150 150
150 150 150
150 150 150
150 150 150
144 105 4
150 32 1
150 150 150
8 15 13
4 17 9
150 150 150
59 101 81
150 150 150
12 11 3
13 42 86
150 150 150
95 54 129
11 9 16
1 106 25
30 67 45
17 8 9
6 7 8
41 72 85
5 14 1
150 150 150
14 11 11
9 17 2
59 40 17
2 2 4
150 145 1
5 10 4
9 5 15
11 10 18
30 19 105
68 59 62
150 104 1
111 36 125
5 7 11
7 8 11
67 117 41
150 42 1
3 1 15
150 150 150
14 11 7
39 120 48
150 150 150
15 14 1
150 83 1
18 6 14
128 67 55
150 150 150
2 18 2
96 65 25
150 114 1
2 2 1
2 20 20
13 11 5
150 140 1
14 6 15
150 34 1
8 84 136
6 17 4
150 150 150
43 66 109
150 150 150
150 68 1
18 7 19
150 150 1
150 51 1
15 13 7
10 20 18
13 13 20
34 121 25
150 150 150
150 150 150
150 150 150
4 6 11
72 67 113
14 5 14
150 105 1
17 9 1
7 17 2
12 19 14
1 18 16
15 17 20
101 36 30
3 10 8
2 12 19
150 150 150
10 8 11
14 9 13
3 1 15
85 18 135
54 29 34
150 50 1
54 5 124
2 20 2
15 20 20
150 150 150
102 51 72
19 16 18
3 12 18
150 120 1
10 7 10
150 37 1
150 132 1
150 51 1
3 3 16
7 3 3
150 141 1
20 6 12
150 102 1
15 2 17
13 2 6
9 18 14
19 16 9
14 12 14
150 150 150
1 10 19
10 18 20
20 15 9
11 9 16
78 29 96
150 150 150
144 13 6
16 8 9
62 47 30
30 57 125
18 7 5
19 5 2
54 95 97
137 41 57
106 34 57
14 15 4
150 150 150
2 4 11
12 1 18
9 9 19
3 11 13
150 87 1
13 4 9
150 4 1
150 145 1
150 150 150
9 7 9
150 124 1
8 3 17
2 5 14
16 6 15
56 115 98
10 16 14
98 132 7
150 150 150
13 15 3
73 26 96
6 10 4
150 23 1
150 150 150
150 9 1
35 144 99
89 121 37
150 86 1
7 1 20
150 40 1
108 44 16
7 9 10
3 19 2
150 126 1
150 150 150
6 12 9
146 107 113
15 3 8
16 15 20
8 14 3
150 144 1
150 150 150
3 3 13
150 19 1
150 64 1
9 13 5
18 19 19
9 6 2
150 54 1
13 6 14
87 86 146
9 132 99
90 92 54
150 135 1
16 5 1
3 16 17
12 15 3
2 19 10
8 5 10
60 48 123
150 24 1
19 4 20
4 15 1
14 13 8
7 11 5
10 5 17
12 5 9
150 54 1
20 17 18
150 150 150
150 150 150
5 12 11
3 14 3
150 150 150
11 3 18
150 136 1
19 8 4
5 8 3
10 9 4
81 3 49
131 57 116
150 150 150
6 8 3
15 15 1
38 14 62
51 114 74
6 14 6
17 14 19
66 93 121
17 6 18
8 15 20
1 7 20
7 9 9
150 150 150
150 150 150
16 36 2
14 8 6
14 113 117
132 132 73
13 1 14
113 19 45
150 150 150
150 142 1
9 3 18
15 14 12
87 37 91
14 7 20
124 104 19
72 133 5
5 4 4
17 6 7
7 1 19
10 3 1
7 15 18
59 145 111
19 12 16
19 3 6
58 73 55
20 14 3
99 98 117
18 2 12
1 8 2
15 16 6
150 104 1
150 150 150
13 6 9
6 11 16
25 2 143
109 87 137
150 105 1
18 9 11
6 1 10
124 4 27
6 16 4
14 15 13
150 150 150
15 18 16
150 150 150
50 148 115
19 18 14
89 22 137
53 91 2
5 10 5
150 64 1
43 122 93
93 104 42
150 32 1
15 19 16
84 81 89
71 110 129
1 14 2
88 42 111
150 150 150
150 17 1
16 15 5
17 18 7
20 20 6
150 78 1
13 12 2
150 150 150
150 150 150
129 24 29
12 7 18
150 150 150
12 4 84
150 14 1
150 150 150
41 44 14
150 85 1
8 5 12
109 121 131
150 150 150
