200000 131016
B 79497 79498
A 179174 81509
B 19692 19693
A 87211 87212
A 3 200000
B 176443 126054
A 1 163809
A 78699 78700
A 196681 40319
A 59190 191414
B 65928 65929
B 91089 91090
B 175708 155390
A 152430 152431
B 1 99032
B 46292 196422
B 140935 140936
B 2 199999
A 3 199999
B 1 128944
B 200000 128073
B 90487 90488
B 64207 9320
B 110503 143355
A 54975 2794
B 43731 78599
B 70048 142546
B 174412 174413
B 1 29187
B 130582 130583
B 81474 81475
B 45460 45461
B 174425 27647
A 37231 37232
A 200000 164324
A 200000 38296
B 90477 90478
B 91629 88587
B 21528 176350
B 7592 10638
B 55435 55436
B 200000 107622
B 190302 190303
B 200000 146300
A 195584 15898
A 9185 9186
B 200000 161066
A 77877 182599
A 1 98530
B 1 56065
A 94390 19899
B 200000 94799
B 91569 91570
B 63508 79156
A 52163 18883
B 72822 174354
B 46159 46160
B 1 3531
A 185052 51677
A 36032 138645
B 131410 126763
B 96206 96207
A 175328 181450
A 200000 136194
B 198065 198066
B 87060 9265
A 105589 92826
A 151924 151925
A 83900 83901
B 200000 66734
A 1 99919
A 1 56864
B 42966 42967
B 1 125414
B 144946 165906
B 157139 157140
A 101377 150512
B 126126 55977
B 80813 186812
B 172398 194444
A 200000 85939
A 40324 40325
A 2758 2759
A 103746 150177
B 6389 88552
A 25429 70226
A 1273 1274
B 30054 147274
B 149832 149833
A 162903 162904
B 200000 191320
A 31956 31957
A 1 41601
B 75624 75625
A 128775 128776
B 13433 13434
B 134768 134769
B 50391 50392
B 118371 118372
B 109222 109223
A 200000 24241
B 173343 131409
A 1 50493
B 875 13942
A 22949 22950
B 193687 193688
B 165358 165359
A 1 89063
B 76399 178523
B 11359 37652
A 58770 58771
A 134661 134662
B 200000 89475
B 116102 116103
B 40271 38657
A 200000 1637
A 100180 118621
B 72785 6987
A 881 882
B 77533 77534
B 1 170329
A 191093 191094
B 73570 364
B 8371 8372
A 71830 47890
A 1 62841
B 192691 192692
B 200000 181776
B 179263 179264
B 22829 150400
A 129713 129714
B 200000 49670
B 188517 6872
B 113793 113794
B 174426 143204
B 15751 15752
A 1 200000
A 163715 163716
B 29509 138382
A 55331 55332
B 1 16178
A 100918 157973
A 132820 156210
B 1 139933
B 129420 95917
A 192435 192436
B 86301 42057
A 108942 108943
B 1 44486
A 152638 68456
B 151380 51545
B 1 184226
B 189870 189871
A 125455 125456
A 76309 76310
B 1 163979
A 69268 69269
B 34033 34034
A 56739 56740
B 144316 130082
B 200000 154098
A 55303 55304
A 132576 132577
A 1 15478
A 199056 199057
A 1 167454
B 69740 69741
B 192014 5824
A 98196 199144
B 21279 21280
B 18818 90733
A 90075 58271
A 150966 55779
A 30962 30963
A 1 9915
B 146844 6748
A 187058 187059
B 177572 95754
B 145837 145838
B 3 199999
B 145198 88422
A 178802 178803
B 200000 80819
B 21325 21326
A 80603 145594
A 200000 3014
B 163849 163850
B 80867 114879
B 38229 38230
B 12128 132787
B 82650 82651
A 200000 15721
A 200000 19752
B 187506 68741
B 133262 77253
A 188528 188529
A 195980 128490
B 200000 17746
B 163499 3035
B 200000 26850
B 1 179443
A 184089 184090
A 87278 199283
A 1 192924
B 154059 129106
B 1 153459
B 14699 81359
B 72222 28011
A 193903 193904
B 113971 130521
B 38721 117343
B 1 185432
B 1 28818
A 164936 193351
A 171744 178038
A 114132 114133
A 195633 195634
B 190457 190458
A 180213 180214
A 58842 58843
B 172531 13012
A 62051 62052
A 3066 113828
B 180254 92087
B 95933 32176
A 43748 168437
B 176505 176506
B 1 200000
B 193995 193996
A 27242 133222
A 102934 127552
B 62523 62524
A 69278 76348
A 37342 114643
B 105999 49602
A 111677 111678
B 109590 109591
B 36856 195760
A 2502 2503
A 40748 36407
B 101129 101130
B 183726 28539
A 66168 66169
B 200000 124246
A 200000 108267
A 1 8907
B 150293 150294
B 1 62941
A 86665 86666
A 196434 196435
B 90163 90164
B 17356 160332
B 73392 73393
A 172370 172371
B 12217 73811
B 45366 45367
B 184458 45017
B 112440 112441
A 168903 168904
B 2 199999
B 116867 116868
B 200000 121360
B 141861 141862
A 197217 197218
A 109882 116278
B 149649 149650
A 10839 10840
A 1 161939
B 121607 40515
